SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
KRN,"1,541.70","1,541.70","1,469.00","1,468.30","1,523.50",-,55.2,3.76,967802,147.88,"1,541.70",589.80,21.89,78.6
SYRMA,"1,477.30","1,503.60","1,458.50","1,465.20","1,472.00",-,6.8,0.46,972670,143.65,"1,543.00",634.50,8.31,112.52
CDSL,"1,344.00","1,359.80","1,323.30","1,344.40","1,356.80",-,12.4,0.92,1012698,136.04,"1,673.70","1,116.30",-4.33,-13.01
CEMPRO,"1,325.00","1,363.70","1,311.00","1,298.80","1,330.00",-,31.2,2.4,1001076,135.43,"1,649.20",503.30,-17.65,73.09
HAPPSTMNDS,424.00,432.40,406.80,420.20,427.50,-,7.3,1.74,3199998,134.88,635.00,330.20,12.6,-26.57
PINELABS,165.70,166.77,162.25,164.86,163.15,-,-1.71,-1.04,7831075,128.39,284.00,134.73,6.52,0.0
HONASA,507.00,509.80,476.90,502.80,480.00,-,-22.8,-4.53,2570012,126.35,509.80,248.40,2.79,71.74
PARAS,"1,383.50","1,393.00","1,346.00","1,377.50","1,387.00",-,9.5,0.69,907157,124.56,"1,443.00",580.50,17.91,107.87
GNFC,571.95,604.75,570.05,568.95,600.90,-,31.95,5.62,2023800,119.91,616.00,365.00,19.53,19.8
SAMMAANCAP,152.39,156.00,149.84,152.39,153.48,-,1.09,0.72,7798086,119.86,192.95,116.70,-6.2,29.77
TENNIND,538.60,551.90,536.85,538.25,551.90,-,13.65,2.54,2170914,118.85,657.00,438.05,-0.45,0.0
ANGELONE,287.00,295.65,282.15,287.30,293.50,-,6.2,2.16,4087024,118.50,360.45,208.63,-10.78,11.08
GLAND,"2,986.00","2,993.30","2,859.70","2,970.20","2,902.00",-,-68.2,-2.3,372430,108.94,"3,039.80","1,573.60",18.5,46.88
BLUESTONE,852.90,860.00,829.05,845.25,837.00,-,-8.25,-0.98,1277490,107.97,926.00,399.80,39.72,0.0
